,0.02,0.05,0.1
nodes,5304.0,5304.0,5304.0
edges,14237.0,14237.0,14237.0
components,18.0,42.0,73.0
closeness,0.1020054324101605,0.12711101819088144,0.14619180627691475
betweenness,0.0,5.715943226809513e-06,0.00034145629400672876
clustering,0.6666666666666666,0.5454545454545454,0.3333333333333333
h(0) deanonymization [1],0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0
h(1) deanonymization [1],0.0003770739064856712,0.0003756574004507889,0.0005656108597285068
h(1) deanonymization [2-4],0.006221719457013574,0.0039444027047332835,0.003393665158371041
h(1) deanonymization [5-10],0.008672699849170438,0.007137490608564989,0.012254901960784314
h(1) deanonymization [11-20],0.01583710407239819,0.015965439519158527,0.010935143288084464
h(1) deanonymization [20-inf],0.9688914027149321,0.9725770097670924,0.9728506787330317
h(2) deanonymization [1],0.4438622754491018,0.5044910179640718,0.5709206586826348
h(2) deanonymization [2-4],0.2563622754491018,0.21800149700598803,0.1962949101796407
h(2) deanonymization [5-10],0.10029940119760479,0.0967440119760479,0.08907185628742514
h(2) deanonymization [11-20],0.06979790419161677,0.09375,0.05258233532934132
h(2) deanonymization [20-inf],0.12967814371257486,0.08701347305389222,0.09113023952095808
h(3) deanonymization [1],0.4100678733031674,0.5854072398190046,0.776395173453997
h(3) deanonymization [2-4],0.38065610859728505,0.3037330316742081,0.193815987933635
h(3) deanonymization [5-10],0.14837858220211161,0.09087481146304675,0.01414027149321267
h(3) deanonymization [11-20],0.055995475113122174,0.012443438914027148,0.0026395173453996985
h(3) deanonymization [20-inf],0.004901960784313725,0.007541478129713424,0.013009049773755657
h(4) deanonymization [1],0.32494365138993236,0.548265460030166,0.7724358974358975
h(4) deanonymization [2-4],0.33377160030052594,0.30335595776772245,0.1932503770739065
h(4) deanonymization [5-10],0.20454545454545456,0.11104826546003016,0.018665158371040724
h(4) deanonymization [11-20],0.09203606311044328,0.029788838612368026,0.0026395173453996985
h(4) deanonymization [20-inf],0.04470323065364388,0.007541478129713424,0.013009049773755657
