,0.0,0.02,0.04,0.06,0.08,0.1
nodes,300.0,300.0,300.0,300.0,300.0,300.0
edges,1184.0,1184.0,1184.0,1184.0,1184.0,1184.0
components,1.0,1.0,1.0,1.0,1.0,1.0
closeness,0.3587283834397068,0.35722819593787336,0.35808383233532937,0.3553180101733882,0.35595238095238096,0.3540557783448779
betweenness,0.001757065940531813,0.0017732331462493446,0.001929783499069491,0.002074009974104302,0.0019637773833264182,0.0021821817980168254
clustering,0.04004449388209121,0.041666666666666664,0.03571428571428571,0.03571428571428571,0.03386243386243386,0.03597308488612837
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.02,0.040625,0.023333333333333334,0.03,0.03,0.03333333333333333
h(1) deanonymization [2-4],0.1,0.06875,0.09666666666666666,0.09333333333333334,0.06666666666666667,0.07
h(1) deanonymization [5-10],0.07,0.0875,0.07333333333333333,0.07333333333333333,0.07,0.08333333333333333
h(1) deanonymization [11-20],0.17666666666666667,0.165625,0.22666666666666666,0.0,0.2,0.11333333333333333
h(1) deanonymization [20-inf],0.6333333333333333,0.6375,0.58,0.8033333333333333,0.6333333333333333,0.7
h(2) deanonymization [1],0.9933333333333333,0.9933333333333333,0.9866666666666667,0.9933333333333333,0.9933333333333333,0.98
h(2) deanonymization [2-4],0.006666666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.02
h(2) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.84,0.8466666666666667,0.9066666666666666,0.9233333333333333,0.9166666666666666,0.9333333333333333
h(4) deanonymization [2-4],0.11,0.10666666666666667,0.043333333333333335,0.04,0.04,0.04666666666666667
h(4) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.02
h(4) deanonymization [11-20],0.05,0.04666666666666667,0.05,0.03666666666666667,0.043333333333333335,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
