random-100,0.619002
random-100,0.626433
random-100,0.645057
random-100,0.6343
random-100,0.640257
random-300,7.199705
random-300,5.374879
random-300,5.530765
random-300,5.434209
random-300,5.62507
random-300,5.488828
random-300,5.270347
random-300,5.17556
scale-free-300,1.794251
scale-free-300,2.738227
scale-free-300,2.775668
scale-free-300,2.26144
scale-free-300,2.306974
random-300,2.180208
random-300,2.256656
random-300,2.266046
random-300,2.316121
random-300,2.668863
random-300,2.335349
random-300,2.506687
random-300,2.417138
scale-free-300,2.441016
scale-free-300,2.908315
scale-free-300,2.888974
ba2000,129.902523
power,478.36257
power,468.229741
power,483.832685
power,94.183319
dblp,349.066653
ws5000,380.255237
ba5000,401.538486
